Job Title,Company Name,Rating,Experience,Salary,Location,Type,Skills Required
Data Scientist,Tanla Platforms,3.4,4-9 Yrs,Not disclosed,Hyderabad,Hybrid,ML
"Data Scientist, Analytics, BI Consultant",Anicalls,4.3,5-8 Yrs,Not disclosed,Mumbai,Hybrid,Satistics
"Data Scientist, Analytics",Anicalls,4.3,5-8 Yrs,Not disclosed,Chennai,Hybrid,Satistics
"Data Scientist, Analytics",Anicalls,4.3,5-8 Yrs,Not disclosed,Mumbai,Hybrid,Satistics
SQL Configuration Data Specialist,Kodiak Networks,3.9,2-7 Yrs,Not disclosed,Bangalore,Hybrid,SQL
Data Analyst & Scientist,Siemens Gamesa Renewable Energy,4.1,3-8 Yrs,Not disclosed,Bangalore,Hybrid,Management 
Data Analyst with Advanced Tableau,Technix India Solutions,4,3-8 Yrs,Not disclosed,Bangalore,Hybrid,DataAanlysis
Master Data Management Analyst,Fenyes Engineered Technology Pvt Ltd (First Brands Group LLC),4.1,4-8 Yrs,Not disclosed,Bangalore,Hybrid,Management 
"Supervisor, Sales & Data Analyst - India",Herbalife Nutrition,4.2,2-5 Yrs,Not disclosed,Bangalore,Hybrid,Management 
"Supervisor, Sales & Data Analyst",Herbalife International,4.2,5-10 Yrs,Not disclosed,Bangalore,Hybrid,Management 
R&D Data Admin & Reporting - Data Analysts,Pepsi Foods,4.1,6-8 Yrs,Not disclosed,Hyderabad,Hybrid,Management 
"Data Analyst , Product",Mediamath,4.1,4-9 Yrs,Not disclosed,Bangalore,Hybrid,Python
Manager-Data Science,Nissan Technical Centre,4.1,4-10 Yrs,Not disclosed,Chennai,Hybrid,DataAanlysis
Lead Data Scientist,Highspot,4.1,7-9 Yrs,Not disclosed,Hyderabad,Hybrid,ML
Senior Data Scientist,Abzooba Inc.,4.5,5-9 Yrs,Not disclosed,Mumbai,Hybrid,SQL
Senior Scientist/NLP/Machine Learning/Data Mining Professional,Career Maker,4.1,2-7 Yrs,Not disclosed,Bangalore,Hybrid,SQL
Senior Data Scientist,ASG Technologies,4,8-10 Yrs,Not disclosed,Chennai,Hybrid,SQL
Senior Data Scientist,ASG Technologies,4,3-9 Yrs,Not disclosed,Chennai,Hybrid,SQL
Senior Data Scientist,Providence College Of Engineering,4.3,3-9 Yrs,Not disclosed,Hyderabad,Hybrid,ML
Lead Data Scientist,Megma Services,4.1,5-10 Yrs,Not disclosed,New Delhi,Hybrid,Python
Senior Data Analyst @ Big-data analytics based out US Healthcare,Spectramedix,4,5-8 Yrs,Not disclosed,Gurgaon,Hybrid,Python
Senior Data Analytics & Insight Analyst,Jardine Lloyd Thompson,4,3-6 Yrs,Not disclosed,Mumbai,Hybrid,DataAanlysis
Senior Data Analytics & Insight Analyst,Marsh McLennan Companies,4,2-5 Yrs,Not disclosed,Mumbai,Hybrid,DataAanlysis
DATA Scientist - Gurgaon MNC,Advance Talent Services,4.1,3-8 Yrs,Not disclosed,New Delhi,Hybrid,ML
Data Scientist,Reed And Willow ( A Unit Of Talright Technologies ),4.1,7-12 Yrs,18-33 Lacs PA,Mumbai,Hybrid,Python
Reliability Data Scientist,Ford,4.5,4-9 Yrs,Not disclosed,Chennai,Hybrid,DataAanlysis
Machine Learning Scientist,Skylark Labs,2.4,5-10 Yrs,Not disclosed,Mumbai,Hybrid,ML
Data Scientist,Rockwell Automation,4,3-7 Yrs,Not disclosed,Mumbai,Hybrid,Management 
Analytics Specialist - Data Management,Accenture,4.1,7-11 Yrs,Not disclosed,Bangalore,Hybrid,Management 
